Name,RA,Dec,Period (day),a (AU),T transit/inf conj (JD),Obs status,Eccentric?,Kp max (km/s),Transiting?,Kmag (<9),e,omega,inc
TOI-1408 b,20:54:02.65,+72:34:50.32,4.42587,0.05778,2458740.8581,None,No,142,Y,8.078,0,0,82.4
TOI-1408 c,20:54:02.65,+72:34:50.32,2.1664,0.03587,2458739.847,None,No,180,Y,8.078,0,0,82.6
