Name,RA,Dec,Period (day),a (AU),T transit/inf conj (JD),Obs status,Eccentric?,Kp max (km/s),Transiting?,Kmag (<9),Notes
WASP-76,1:46:32,2:42:01,1.809881077,0.033,2459448.895,IGRINS published,No,198.9,Y,8.2,
TOI 1431,21:04:49,55:35:17,2.650232387,0.046,2459881.427,IGRINS,No,189.3,Y,7.4,
WASP-189,15:02:45,-3:01:53,2.7240308,0.05053,2456706.457,KPIC detected,No,202.3,Y,6,
MASCARA-1,21:10:12,10:44:20,2.148787199,0.04035,2459798.286,KPIC detected,No,204.8,Y,7.7,
KELT20/M-2,19:38:39,31:13:09,3.474101086,0.0542,2459441.669,KPIC published,No,177,Y,7.4,
TOI 1518,23:29:04,67:02:05,1.902605961,0.0389,2459854.415,KPIC detected,No,223,Y,8.3,
WASP-33,2:26:51,37:33:02,1.21986967,0.02558,2454590.179,KPIC published,No,228.7,Y,7.4,
KELT-9,20:31:26,39:56:20,1.4811235,0.03368,2458683.445,KPIC detected,No,248,Y,7.5,
WASP-121,07:10:24.1,-39:05:50.6,1.274924762,0.02596,2458661.563783,IGRINS published,No,222.4,Y,9.6,
